,thisyeardata,lastyeardata,twoyearagodata
0,19,29,34
1,+10,+5,+17
2,"7,656","6,517","5,194"
3,7.70%,6.52%,5.46%
4,17.39%,15.47%,13.40%
5,"5,139","4,727","3,548"
6,£525,£524,£475
7,+0.19%,+10.32%,+2.15%
8,£363,£363,£323
9,£688,£675,£625
10,£475,£475,£425
11,+0.02%,+11.74%,+1.19%
