,thisyeardata,lastyeardata,twoyearagodata
0,15,14,21
1,-1,+7,0
2,"8,250","7,779","7,013"
3,8.29%,7.78%,7.37%
4,18.74%,18.47%,18.09%
5,"6,334","5,927","4,997"
6,£450,£438,£400
7,+2.86%,+9.38%,-
8,£320,£310,£280
9,£638,£650,£588
10,£400,£375,£350
11,+6.67%,+7.14%,-
