thisyeardata,lastyeardata,twoyearagodata
18,18,17
0,-1,+11
"7,821","7,471","7,383"
7.86%,7.47%,7.76%
9.04%,8.70%,9.12%
"5,145","5,253","5,066"
£477,£475,£450
+0.42%,+5.56%,+5.88%
£363,£338,£319
£638,£615,£588
£450,£438,£425
+2.86%,+2.94%,+6.25%
