thisyeardata,lastyeardata,twoyearagodata
4,5,6
+1,+1,+2
"13,920","14,184","12,079"
13.99%,14.19%,12.70%
31.62%,33.67%,31.17%
"9,599","10,305","8,393"
£525,£500,£475
+5.00%,+5.26%,+5.56%
£375,£350,£320
£675,£663,£638
£450,£435,£425
+3.45%,+2.35%,+2.41%
