thisyeardata,lastyeardata,twoyearagodata
4,4,4
0,0,0
"30,150","35,526","36,039"
19.96%,20.64%,20.55%
36.35%,37.13%,38.54%
"25,416","30,173","31,189"
"£49,000","£45,000","£45,000"
+8.89%,-,-
"£29,750","£27,750","£27,500"
"£77,500","£73,750","£71,250"
"£42,500","£42,500","£40,000"
-,+6.25%,-
