,thisyeardata,lastyeardata,twoyearagodata
0,9,9,8
1,0,-1,+1
2,"11,706","10,974","10,714"
3,11.77%,10.98%,11.26%
4,26.59%,26.05%,27.64%
5,"8,484","8,244","7,772"
6,£463,£450,£419
7,+2.78%,+7.46%,+4.69%
8,£313,£308,£300
9,£613,£600,£575
10,£425,£390,£375
11,+8.97%,+4.00%,+3.45%
