,thisyeardata,lastyeardata,twoyearagodata
0,5,6,5
1,+1,-1,0
2,"13,116","12,914","12,324"
3,13.18%,12.92%,12.96%
4,29.79%,30.66%,31.80%
5,"9,105","8,933","8,413"
6,£450,£425,£400
7,+5.88%,+6.25%,-
8,£306,£285,£263
9,£625,£625,£575
10,£412,£388,£363
11,+6.32%,+6.90%,+2.11%
