thisyeardata,lastyeardata,twoyearagodata
7,8,7
+1,-1,-1
"12,155","11,064","11,511"
12.22%,11.07%,12.10%
28.99%,26.45%,26.79%
"7,568","7,013","7,414"
£425,£400,£375
+6.25%,+6.67%,-
£165,£155,£176
£600,£575,£550
£400,£365,£350
+9.59%,+4.29%,-
