thisyeardata,lastyeardata,twoyearagodata
7,7,7
0,0,-2
"25,326","29,297","28,004"
16.77%,17.02%,15.97%
39.48%,38.50%,36.48%
"20,493","24,577","24,090"
"£45,000","£44,000","£42,500"
+2.27%,+3.53%,+2.41%
"£25,000","£23,538","£23,747"
"£75,000","£71,250","£68,750"
"£42,500","£40,000","£39,500"
+6.25%,+1.27%,+3.95%
