thisyeardata,lastyeardata,twoyearagodata
12,25,45
+13,+20,+57
"9,309","6,794","4,260"
9.36%,6.80%,4.48%
38.34%,38.12%,35.51%
"6,686","4,986","3,037"
£525,£510,£500
+2.94%,+2.00%,+5.26%
£388,£375,£363
£675,£650,£631
£500,£475,£453
+5.26%,+4.97%,+0.56%
