thisyeardata,lastyeardata,twoyearagodata
23,31,61
+8,+30,+50
"13,252","11,402","8,204"
8.72%,6.53%,4.67%
9.51%,7.11%,5.11%
"10,310","9,176","6,748"
"£62,500","£62,500","£60,000"
-,+4.17%,+9.09%
"£37,500","£37,500","£36,250"
"£93,750","£90,000","£85,000"
"£55,000","£52,500","£50,000"
+4.76%,+5.00%,-
