thisyeardata,lastyeardata,twoyearagodata
19,29,34
+10,+5,+17
"7,652","6,570","5,283"
7.71%,6.52%,5.47%
17.40%,15.53%,13.45%
"5,133","4,742","3,617"
£525,£525,£475
-,+10.53%,+2.15%
£363,£363,£323
£688,£675,£625
£475,£475,£425
-,+11.76%,+1.19%
