thisyeardata,lastyeardata,twoyearagodata
15,14,21
-1,+7,+1
"8,235","7,818","7,107"
8.30%,7.76%,7.36%
18.73%,18.47%,18.09%
"6,320","5,962","5,069"
£450,£438,£400
+2.86%,+9.38%,-
£320,£310,£280
£640,£650,£588
£400,£375,£350
+6.73%,+7.14%,-
