thisyeardata,lastyeardata,twoyearagodata
78,97,99
£35.00,£37.50,£35.00
-6.67%,+7.14%,+21.99%
£13.50,£13.20,£15.20
£58.60,£63.75,£57.01
£37.50,£40.00,£31.98
-6.25%,+25.10%,+7.48%
9,9,8
0,-1,+1
"11,670","11,044","10,870"
11.76%,10.96%,11.26%
26.54%,26.10%,27.67%
"8,475","8,289","7,884"
£465,£450,£415
+3.33%,+8.43%,+3.75%
£313,£308,£300
£613,£600,£575
£425,£390,£375
+8.97%,+4.00%,+3.45%
