thisyeardata,lastyeardata,twoyearagodata
4,5,6
+1,+1,+2
"13,851","14,230","12,231"
13.95%,14.13%,12.67%
31.50%,33.63%,31.14%
"9,545","10,327","8,493"
£525,£500,£475
+5.00%,+5.26%,+5.56%
£373,£350,£320
£675,£663,£638
£450,£438,£425
+2.86%,+2.94%,+2.41%
