thisyeardata,lastyeardata,twoyearagodata
82,94,93
£41.25,£44.06,£37.50
-6.37%,+17.49%,+7.14%
£19.08,£22.60,£14.79
£62.33,£63.75,£69.06
£41.50,£45.00,£36.00
-7.78%,+25.00%,+2.86%
5,6,5
+1,-1,0
"13,120","12,974","12,480"
13.22%,12.88%,12.92%
29.83%,30.66%,31.77%
"9,110","8,969","8,524"
£450,£425,£400
+5.88%,+6.25%,-
£306,£288,£263
£625,£625,£575
£412,£388,£363
+6.32%,+6.90%,+1.40%
