thisyeardata,lastyeardata,twoyearagodata
17,12,10
-5,-2,0
"8,111","8,572","9,575"
8.17%,8.51%,9.92%
23.97%,26.62%,31.54%
"5,790","6,269","6,671"
£450,£425,£400
+5.88%,+6.25%,+3.23%
£310,£281,£275
£600,£594,£575
£405,£375,£374
+8.00%,+0.27%,+6.86%
