thisyeardata,lastyeardata,twoyearagodata
12,25,45
+13,+20,+56
"9,315","6,869","4,305"
9.38%,6.82%,4.46%
38.28%,38.09%,35.35%
"6,675","5,027","3,068"
£525,£513,£500
+2.44%,+2.50%,+5.26%
£388,£375,£363
£675,£650,£628
£500,£475,£463
+5.26%,+2.70%,+2.78%
