thisyeardata,lastyeardata,twoyearagodata
120,156,80
£42.50,£40.00,£40.00
+6.25%,-,-
£23.44,£22.88,£18.38
£51.38,£54.68,£47.50
£42.75,£40.50,£40.00
+5.56%,+1.25%,-
7,8,7
+1,-1,-1
"12,117","11,139","11,688"
12.21%,11.06%,12.10%
28.97%,26.50%,26.79%
"7,548","7,053","7,537"
£425,£400,£375
+6.25%,+6.67%,-
£168,£156,£175
£600,£575,£550
£400,£370,£350
+8.11%,+5.71%,-
