thisyeardata,lastyeardata,twoyearagodata
816,728,784
£15.30,£15.00,£15.00
+2.00%,-,-3.23%
£10.34,£10.40,£9.81
£35.13,£36.79,£40.00
£15.00,£15.00,£14.50
-,+3.45%,-3.53%
10,19,32
+9,+13,+40
"10,177","7,524","5,646"
10.25%,7.47%,5.85%
11.78%,8.70%,6.87%
"7,074","5,527","4,042"
£525,£525,£500
-,+5.00%,+5.26%
£400,£388,£363
£675,£669,£638
£500,£500,£460
-,+8.70%,+2.22%
