thisyeardata,lastyeardata,twoyearagodata
179,245,271
£32.48,£27.00,£32.50
+20.28%,-16.92%,+12.07%
£14.49,£13.33,£13.25
£55.20,£50.00,£50.00
£32.79,£30.00,£32.50
+9.30%,-7.69%,+1.56%
18,18,17
0,-1,+11
"7,809","7,558","7,480"
7.87%,7.50%,7.75%
9.04%,8.74%,9.11%
"5,138","5,303","5,125"
£480,£475,£450
+1.00%,+5.56%,+5.88%
£360,£338,£320
£638,£615,£588
£450,£438,£425
+2.86%,+2.94%,+6.25%
